@relation words-weka.filters.unsupervised.attribute.Remove-R5-53

@attribute word1Length numeric
@attribute word2Length numeric
@attribute word2-word1Length numeric
@attribute word2-word1LengthAbs numeric
@attribute classe {true,false}

@data
6,5,-1,1,false
10,7,-3,3,false
1,1,0,0,false
6,5,-1,1,true
10,9,-1,1,false
10,8,-2,2,false
12,6,-6,6,false
7,4,-3,3,true
1,1,0,0,false
4,5,1,1,true
8,11,3,3,true
9,4,-5,5,true
10,5,-5,5,true
7,4,-3,3,true
9,5,-4,4,true
10,7,-3,3,false
9,5,-4,4,false
8,5,-3,3,true
8,4,-4,4,false
2,3,1,1,true
4,5,1,1,true
11,8,-3,3,false
3,3,0,0,true
2,3,1,1,false
1,1,0,0,true
14,7,-7,7,false
3,3,0,0,true
10,5,-5,5,false
10,11,1,1,false
5,7,2,2,true
5,6,1,1,false
1,1,0,0,false
4,3,-1,1,false
4,5,1,1,false
2,3,1,1,false
2,3,1,1,false
7,6,-1,1,false
4,6,2,2,true
2,3,1,1,false
5,6,1,1,true
4,4,0,0,false
11,6,-5,5,true
4,4,0,0,true
12,6,-6,6,true
10,7,-3,3,false
2,3,1,1,false
4,4,0,0,true
13,6,-7,7,true
12,8,-4,4,true
4,5,1,1,false
11,5,-6,6,true
10,7,-3,3,true
2,3,1,1,false
6,6,0,0,true
7,4,-3,3,true
10,8,-2,2,false
9,4,-5,5,false
6,6,0,0,false
3,2,-1,1,false
1,1,0,0,false
7,5,-2,2,false
1,1,0,0,false
9,6,-3,3,false
2,3,1,1,true
6,4,-2,2,false
5,5,0,0,false
7,4,-3,3,false
11,5,-6,6,true
3,3,0,0,false
1,1,0,0,true
7,7,0,0,false
9,5,-4,4,true
2,3,1,1,true
11,8,-3,3,false
2,3,1,1,true
3,3,0,0,true
4,4,0,0,false
4,4,0,0,false
7,7,0,0,true
7,4,-3,3,false
1,1,0,0,true
4,2,-2,2,false
13,6,-7,7,false
11,7,-4,4,false
1,1,0,0,true
12,7,-5,5,true
4,5,1,1,true
3,2,-1,1,false
11,7,-4,4,false
12,6,-6,6,true
8,8,0,0,true
3,3,0,0,false
11,5,-6,6,false
14,7,-7,7,false
12,8,-4,4,true
5,4,-1,1,false
14,7,-7,7,true
13,8,-5,5,true
9,6,-3,3,false
9,6,-3,3,false
4,5,1,1,false
14,9,-5,5,true
4,4,0,0,false
6,4,-2,2,false
14,14,0,0,true
3,3,0,0,true
6,8,2,2,true
13,6,-7,7,false
11,8,-3,3,false
11,8,-3,3,false
2,3,1,1,true
5,7,2,2,false
1,1,0,0,true
5,4,-1,1,false
2,3,1,1,false
6,3,-3,3,true
11,6,-5,5,false
3,2,-1,1,true
6,5,-1,1,true
4,4,0,0,false
2,3,1,1,true
2,3,1,1,false
4,5,1,1,true
10,6,-4,4,true
9,4,-5,5,false
11,6,-5,5,false
14,8,-6,6,true
11,6,-5,5,false
6,3,-3,3,true
9,5,-4,4,true
13,6,-7,7,true
11,6,-5,5,false
4,4,0,0,false
5,5,0,0,true
1,1,0,0,true
9,5,-4,4,false
12,6,-6,6,false
14,7,-7,7,true
3,4,1,1,false
4,4,0,0,false
14,7,-7,7,true
9,4,-5,5,true
11,7,-4,4,true
2,3,1,1,false
4,5,1,1,false
10,8,-2,2,false
7,5,-2,2,false
2,3,1,1,false
4,4,0,0,false
11,11,0,0,false
12,10,-2,2,true
8,5,-3,3,false
13,8,-5,5,false
4,4,0,0,false
14,14,0,0,true
4,4,0,0,false
13,6,-7,7,true
10,5,-5,5,false
11,7,-4,4,true
13,7,-6,6,false
6,4,-2,2,false
8,7,-1,1,false
6,4,-2,2,true
9,5,-4,4,false
11,9,-2,2,false
5,5,0,0,false
11,5,-6,6,false
10,6,-4,4,false
6,5,-1,1,true
13,6,-7,7,true
12,6,-6,6,true
1,1,0,0,true
11,9,-2,2,false
3,3,0,0,true
10,8,-2,2,true
2,3,1,1,false
11,5,-6,6,true
5,5,0,0,false
11,6,-5,5,false
3,2,-1,1,true
2,3,1,1,true
12,7,-5,5,true
12,6,-6,6,true
4,6,2,2,false
1,1,0,0,true
6,3,-3,3,true
5,6,1,1,false
12,6,-6,6,false
13,7,-6,6,false
2,3,1,1,true
5,5,0,0,false
7,6,-1,1,true
2,3,1,1,false
8,8,0,0,true
10,6,-4,4,true
9,6,-3,3,true
5,5,0,0,false
4,6,2,2,false
1,1,0,0,false
12,6,-6,6,true
3,3,0,0,true
10,5,-5,5,false
14,7,-7,7,true
5,4,-1,1,false
5,4,-1,1,false
7,7,0,0,true
8,10,2,2,true
14,9,-5,5,true
13,6,-7,7,true
11,6,-5,5,true
4,4,0,0,false
6,8,2,2,false
11,8,-3,3,true
5,6,1,1,true
10,5,-5,5,false
8,7,-1,1,false
14,8,-6,6,false
7,5,-2,2,false
7,6,-1,1,false
3,2,-1,1,false
3,1,-2,2,true
8,6,-2,2,false
1,1,0,0,true
14,7,-7,7,true
14,7,-7,7,true
11,8,-3,3,false
1,1,0,0,false
2,3,1,1,true
2,3,1,1,false
13,6,-7,7,false
5,3,-2,2,true
3,2,-1,1,true
6,3,-3,3,true
7,4,-3,3,true
6,5,-1,1,false
5,5,0,0,false
10,8,-2,2,false
14,7,-7,7,true
2,3,1,1,false
6,4,-2,2,true
1,1,0,0,true
8,9,1,1,true
13,7,-6,6,true
6,4,-2,2,true
2,3,1,1,true
2,3,1,1,true
10,8,-2,2,false
7,6,-1,1,true
13,6,-7,7,true
6,3,-3,3,false
7,3,-4,4,true
9,4,-5,5,true
12,12,0,0,false
7,5,-2,2,false
8,4,-4,4,true
2,3,1,1,true
2,3,1,1,false
14,7,-7,7,true
14,7,-7,7,false
14,7,-7,7,true
8,6,-2,2,false
14,9,-5,5,true
4,3,-1,1,false
12,6,-6,6,true
1,1,0,0,true
6,4,-2,2,false
9,5,-4,4,true
9,6,-3,3,false
4,5,1,1,false
8,9,1,1,false
7,6,-1,1,false
14,7,-7,7,true
13,8,-5,5,true
11,6,-5,5,false
10,6,-4,4,false
8,8,0,0,false
9,6,-3,3,false
5,4,-1,1,true
7,9,2,2,true
2,3,1,1,false
4,3,-1,1,false
5,4,-1,1,false
2,3,1,1,true
7,3,-4,4,true
10,7,-3,3,true
8,4,-4,4,true
14,8,-6,6,true
6,5,-1,1,false
1,1,0,0,true
14,7,-7,7,true
7,6,-1,1,true
9,4,-5,5,false
9,8,-1,1,true
9,5,-4,4,false
8,9,1,1,true
11,6,-5,5,false
2,3,1,1,true
7,8,1,1,false
10,7,-3,3,true
11,6,-5,5,true
2,3,1,1,true
8,5,-3,3,false
14,9,-5,5,false
7,4,-3,3,true
13,6,-7,7,false
3,1,-2,2,false
8,4,-4,4,true
2,3,1,1,false
7,8,1,1,false
2,3,1,1,false
6,5,-1,1,true
9,5,-4,4,true
4,5,1,1,true
3,4,1,1,false
10,6,-4,4,false
2,3,1,1,false
13,6,-7,7,false
14,7,-7,7,false
5,6,1,1,true
12,6,-6,6,false
11,5,-6,6,false
14,8,-6,6,false
10,11,1,1,false
10,5,-5,5,true
6,7,1,1,false
11,6,-5,5,true
7,7,0,0,false
6,3,-3,3,true
7,6,-1,1,false
3,3,0,0,false
8,5,-3,3,true
3,3,0,0,false
1,1,0,0,true
9,6,-3,3,true
8,4,-4,4,true
5,6,1,1,true
2,3,1,1,false
3,3,0,0,false
9,4,-5,5,false
13,6,-7,7,true
13,7,-6,6,true
3,2,-1,1,true
14,7,-7,7,true
13,6,-7,7,true
8,5,-3,3,true
1,1,0,0,false
5,5,0,0,false
3,2,-1,1,false
13,7,-6,6,false
9,9,0,0,false
12,7,-5,5,false
5,7,2,2,false
9,6,-3,3,true
12,7,-5,5,true
11,5,-6,6,true
14,12,-2,2,false
12,9,-3,3,false
7,6,-1,1,true
12,8,-4,4,false
13,6,-7,7,false
14,8,-6,6,true
7,3,-4,4,true
8,5,-3,3,true
11,9,-2,2,true
13,7,-6,6,false
13,6,-7,7,false
4,5,1,1,true
7,6,-1,1,true
9,5,-4,4,false
1,1,0,0,false
14,7,-7,7,false
13,6,-7,7,false
3,4,1,1,true
1,1,0,0,false
13,9,-4,4,false
13,6,-7,7,true
9,5,-4,4,false
5,5,0,0,false
6,5,-1,1,false
8,5,-3,3,false
13,6,-7,7,true
4,5,1,1,true
13,6,-7,7,false
2,3,1,1,false
12,6,-6,6,false
8,5,-3,3,true
6,7,1,1,true
7,6,-1,1,true
4,5,1,1,true
13,6,-7,7,false
8,8,0,0,true
9,4,-5,5,false
9,5,-4,4,true
2,3,1,1,false
10,6,-4,4,false
14,7,-7,7,true
8,8,0,0,true
10,5,-5,5,true
9,5,-4,4,false
13,6,-7,7,true
4,3,-1,1,false
7,4,-3,3,true
14,10,-4,4,true
13,6,-7,7,false
11,6,-5,5,true
13,7,-6,6,false
5,6,1,1,true
6,4,-2,2,true
13,6,-7,7,false
14,9,-5,5,false
12,6,-6,6,false
12,13,1,1,false
10,7,-3,3,true
5,5,0,0,true
2,3,1,1,true
8,6,-2,2,false
14,7,-7,7,true
3,3,0,0,true
11,11,0,0,true
5,5,0,0,true
8,6,-2,2,false
6,6,0,0,true
12,7,-5,5,true
10,8,-2,2,false
13,6,-7,7,false
3,1,-2,2,true
5,6,1,1,true
4,5,1,1,true
5,6,1,1,true
2,3,1,1,true
1,1,0,0,false
7,8,1,1,false
6,6,0,0,true
10,9,-1,1,false
12,6,-6,6,true
5,5,0,0,true
13,9,-4,4,true
13,11,-2,2,false
7,3,-4,4,true
9,5,-4,4,false
4,3,-1,1,false
8,5,-3,3,true
2,3,1,1,false
10,8,-2,2,true
10,5,-5,5,false
13,6,-7,7,false
11,8,-3,3,false
7,4,-3,3,true
2,3,1,1,false
6,9,3,3,false
12,6,-6,6,true
6,5,-1,1,true
2,3,1,1,true
2,3,1,1,false
12,6,-6,6,true
2,3,1,1,true
11,6,-5,5,false
14,8,-6,6,true
11,8,-3,3,false
3,2,-1,1,false
8,6,-2,2,true
12,6,-6,6,true
5,6,1,1,true
13,7,-6,6,false
12,6,-6,6,false
14,7,-7,7,false
4,5,1,1,true
11,5,-6,6,false
3,2,-1,1,false
4,3,-1,1,true
8,7,-1,1,true
1,1,0,0,false
6,3,-3,3,false
3,2,-1,1,true
11,7,-4,4,true
3,2,-1,1,false
1,1,0,0,false
6,3,-3,3,false
6,7,1,1,false
6,6,0,0,true
8,8,0,0,false
3,2,-1,1,true
7,3,-4,4,true
5,6,1,1,false
4,3,-1,1,false
9,4,-5,5,true
7,7,0,0,false
7,6,-1,1,true
8,10,2,2,true
3,4,1,1,false
11,9,-2,2,true
14,7,-7,7,true
1,1,0,0,false
10,6,-4,4,true
5,4,-1,1,true
12,7,-5,5,true
11,6,-5,5,true
9,5,-4,4,false
11,5,-6,6,false
12,6,-6,6,true
8,4,-4,4,true
11,5,-6,6,true
5,5,0,0,false
8,4,-4,4,false
3,3,0,0,true
4,3,-1,1,false
8,6,-2,2,false
6,5,-1,1,true
9,5,-4,4,false
2,3,1,1,false
14,7,-7,7,true
9,5,-4,4,true
3,4,1,1,false
6,3,-3,3,true
9,8,-1,1,false
12,9,-3,3,false
12,6,-6,6,true
10,10,0,0,true
9,4,-5,5,false
1,1,0,0,true
12,6,-6,6,true
4,6,2,2,false
4,3,-1,1,true
5,2,-3,3,true
1,1,0,0,true
4,3,-1,1,true
5,4,-1,1,true
6,5,-1,1,false
13,6,-7,7,false
9,5,-4,4,true
12,6,-6,6,true
9,4,-5,5,true
8,8,0,0,true
7,4,-3,3,false
9,4,-5,5,false
13,6,-7,7,false
2,3,1,1,false
10,10,0,0,false
3,2,-1,1,false
5,4,-1,1,true
1,1,0,0,false
4,4,0,0,true
11,5,-6,6,true
9,4,-5,5,false
4,5,1,1,true
4,5,1,1,true
5,6,1,1,true
3,4,1,1,false
2,3,1,1,true
9,4,-5,5,false
5,5,0,0,false
2,3,1,1,false
3,3,0,0,false
7,3,-4,4,false
12,7,-5,5,false
13,7,-6,6,false
2,3,1,1,true
4,3,-1,1,true
13,6,-7,7,true
8,6,-2,2,true
3,3,0,0,false
14,7,-7,7,true
6,7,1,1,true
5,4,-1,1,true
6,8,2,2,false
1,1,0,0,false
9,4,-5,5,true
9,6,-3,3,false
10,6,-4,4,true
1,1,0,0,true
7,5,-2,2,false
2,3,1,1,false
6,4,-2,2,true
1,1,0,0,true
14,7,-7,7,false
4,5,1,1,true
9,12,3,3,true
3,2,-1,1,false
1,1,0,0,false
7,3,-4,4,false
7,6,-1,1,false
4,3,-1,1,true
11,10,-1,1,true
10,8,-2,2,true
13,6,-7,7,true
4,5,1,1,false
8,6,-2,2,false
9,5,-4,4,false
6,3,-3,3,false
14,7,-7,7,false
2,3,1,1,false
2,3,1,1,true
10,6,-4,4,false
7,5,-2,2,false
13,7,-6,6,true
11,6,-5,5,false
14,7,-7,7,false
8,6,-2,2,false
2,3,1,1,true
2,3,1,1,true
7,5,-2,2,false
4,4,0,0,true
3,2,-1,1,false
1,1,0,0,false
11,10,-1,1,true
7,5,-2,2,false
2,3,1,1,false
8,4,-4,4,true
9,4,-5,5,false
12,6,-6,6,true
14,7,-7,7,false
14,8,-6,6,true
14,7,-7,7,false
8,5,-3,3,false
12,11,-1,1,true
1,1,0,0,false
11,6,-5,5,true
12,7,-5,5,true
2,3,1,1,true
3,4,1,1,false
8,6,-2,2,false
11,9,-2,2,false
9,4,-5,5,true
10,5,-5,5,true
13,9,-4,4,false
2,3,1,1,true
14,10,-4,4,false
6,5,-1,1,true
8,6,-2,2,true
8,6,-2,2,false
1,1,0,0,true
10,5,-5,5,true
7,7,0,0,true
2,3,1,1,false
4,3,-1,1,false
4,6,2,2,false
14,8,-6,6,true
9,7,-2,2,false
1,1,0,0,false
9,4,-5,5,true
8,5,-3,3,false
6,8,2,2,true
10,8,-2,2,false
12,7,-5,5,true
10,5,-5,5,false
7,6,-1,1,false
10,7,-3,3,true
6,4,-2,2,false
3,3,0,0,true
9,6,-3,3,false
7,3,-4,4,true
14,9,-5,5,true
14,7,-7,7,false
12,10,-2,2,false
7,3,-4,4,false
13,6,-7,7,false
8,8,0,0,true
11,5,-6,6,true
2,3,1,1,false
1,1,0,0,false
6,3,-3,3,true
5,6,1,1,true
14,7,-7,7,false
4,4,0,0,true
3,1,-2,2,false
11,11,0,0,true
14,7,-7,7,false
14,7,-7,7,false
2,3,1,1,false
1,1,0,0,true
4,6,2,2,false
1,1,0,0,false
3,3,0,0,false
11,5,-6,6,true
8,5,-3,3,false
14,7,-7,7,false
4,3,-1,1,false
12,6,-6,6,false
1,1,0,0,false
10,5,-5,5,true
6,3,-3,3,true
13,6,-7,7,true
4,3,-1,1,true
5,4,-1,1,true
5,5,0,0,false
4,4,0,0,true
14,10,-4,4,true
11,8,-3,3,false
4,4,0,0,true
10,5,-5,5,true
6,5,-1,1,true
4,4,0,0,true
2,3,1,1,false
9,4,-5,5,false
8,7,-1,1,true
1,1,0,0,true
2,3,1,1,false
7,3,-4,4,false
1,1,0,0,false
1,1,0,0,true
4,5,1,1,true
14,7,-7,7,true
7,6,-1,1,false
12,6,-6,6,true
1,1,0,0,false
7,6,-1,1,true
3,3,0,0,false
2,3,1,1,true
6,4,-2,2,false
2,3,1,1,true
5,3,-2,2,true
12,8,-4,4,true
7,4,-3,3,true
4,3,-1,1,true
7,3,-4,4,false
7,4,-3,3,true
2,3,1,1,true
2,3,1,1,false
14,7,-7,7,false
12,6,-6,6,true
11,10,-1,1,false
13,6,-7,7,false
4,5,1,1,true
13,6,-7,7,true
8,9,1,1,false
4,4,0,0,false
12,6,-6,6,false
4,3,-1,1,true
7,5,-2,2,false
8,6,-2,2,false
4,5,1,1,true
9,4,-5,5,true
13,8,-5,5,false
3,2,-1,1,false
6,6,0,0,true
8,5,-3,3,true
8,7,-1,1,true
11,9,-2,2,false
1,1,0,0,true
8,6,-2,2,true
5,3,-2,2,true
8,10,2,2,true
3,3,0,0,true
7,7,0,0,false
7,6,-1,1,false
5,5,0,0,false
3,4,1,1,false
7,6,-1,1,true
14,9,-5,5,false
3,4,1,1,true
3,2,-1,1,false
11,5,-6,6,false
12,9,-3,3,false
10,5,-5,5,true
3,2,-1,1,false
1,1,0,0,false
10,8,-2,2,false
7,4,-3,3,true
6,4,-2,2,false
4,5,1,1,true
14,9,-5,5,false
11,8,-3,3,true
10,5,-5,5,false
12,6,-6,6,true
5,2,-3,3,false
2,3,1,1,true
7,7,0,0,true
7,8,1,1,false
10,7,-3,3,false
12,6,-6,6,false
11,6,-5,5,false
8,4,-4,4,false
4,4,0,0,false
10,8,-2,2,false
10,7,-3,3,true
9,7,-2,2,true
11,5,-6,6,true
8,9,1,1,false
3,2,-1,1,false
11,13,2,2,true
12,7,-5,5,false
1,1,0,0,true
11,5,-6,6,true
2,3,1,1,false
6,4,-2,2,false
4,6,2,2,true
11,5,-6,6,false
10,7,-3,3,false
4,3,-1,1,true
14,7,-7,7,true
3,3,0,0,false
4,4,0,0,false
5,4,-1,1,false
10,9,-1,1,true
13,6,-7,7,true
9,6,-3,3,false
1,1,0,0,true
13,7,-6,6,true
8,5,-3,3,true
5,6,1,1,true
7,6,-1,1,true
2,3,1,1,true
4,5,1,1,false
11,6,-5,5,true
2,3,1,1,true
4,4,0,0,true
5,4,-1,1,true
4,4,0,0,true
7,6,-1,1,true
2,3,1,1,true
1,1,0,0,true
8,9,1,1,true
7,6,-1,1,false
6,4,-2,2,false
5,4,-1,1,true
7,5,-2,2,false
11,8,-3,3,true
4,5,1,1,true
7,6,-1,1,true
4,4,0,0,false
6,3,-3,3,false
1,1,0,0,false
2,3,1,1,false
9,4,-5,5,false
10,11,1,1,false
9,4,-5,5,true
9,4,-5,5,true
10,6,-4,4,true
13,7,-6,6,true
10,10,0,0,false
14,7,-7,7,false
4,4,0,0,false
7,4,-3,3,true
7,9,2,2,true
7,3,-4,4,true
1,1,0,0,false
12,8,-4,4,false
4,4,0,0,true
12,8,-4,4,false
10,10,0,0,true
13,6,-7,7,false
13,6,-7,7,false
2,3,1,1,true
2,3,1,1,false
6,3,-3,3,true
4,3,-1,1,true
11,6,-5,5,false
3,3,0,0,false
9,4,-5,5,true
4,5,1,1,true
7,4,-3,3,true
8,5,-3,3,false
2,3,1,1,true
6,5,-1,1,true
14,10,-4,4,false
12,6,-6,6,false
4,3,-1,1,true
12,7,-5,5,false
1,1,0,0,false
6,3,-3,3,true
1,1,0,0,false
10,5,-5,5,true
2,3,1,1,true
2,3,1,1,true
9,7,-2,2,true
12,7,-5,5,false
12,8,-4,4,true
6,4,-2,2,true
13,6,-7,7,false
9,4,-5,5,true
9,7,-2,2,false
6,6,0,0,false
14,7,-7,7,true
8,6,-2,2,true
12,6,-6,6,false
2,3,1,1,false
14,10,-4,4,true
11,6,-5,5,false
10,8,-2,2,true
11,6,-5,5,true
10,6,-4,4,true
4,5,1,1,false
7,6,-1,1,true
4,5,1,1,true
5,5,0,0,false
2,3,1,1,true
8,6,-2,2,false
7,4,-3,3,true
2,3,1,1,true
2,3,1,1,false
10,8,-2,2,false
12,6,-6,6,false
12,8,-4,4,false
3,3,0,0,true
7,5,-2,2,true
12,6,-6,6,true
5,6,1,1,true
7,4,-3,3,true
13,6,-7,7,true
1,1,0,0,true
12,7,-5,5,false
9,5,-4,4,true
10,5,-5,5,false
2,3,1,1,false
7,7,0,0,true
2,3,1,1,false
7,3,-4,4,false
13,6,-7,7,true
9,4,-5,5,true
13,6,-7,7,true
8,7,-1,1,true
7,7,0,0,false
4,5,1,1,false
10,10,0,0,false
6,6,0,0,true
7,4,-3,3,true
11,8,-3,3,false
1,1,0,0,false
13,6,-7,7,true
10,5,-5,5,true
3,2,-1,1,true
4,4,0,0,true
11,7,-4,4,true
13,6,-7,7,false
2,3,1,1,false
9,5,-4,4,false
4,4,0,0,false
2,3,1,1,true
8,7,-1,1,true
7,3,-4,4,true
7,4,-3,3,false
9,4,-5,5,false
6,5,-1,1,false
4,3,-1,1,false
8,7,-1,1,false
7,4,-3,3,true
9,6,-3,3,true
1,1,0,0,false
6,6,0,0,true
5,3,-2,2,false
1,1,0,0,true
4,4,0,0,false
10,11,1,1,true
3,3,0,0,false
14,7,-7,7,false
7,5,-2,2,false
1,1,0,0,true
5,5,0,0,false
13,9,-4,4,false
7,4,-3,3,true
12,6,-6,6,true
2,3,1,1,true
5,5,0,0,false
11,7,-4,4,true
10,5,-5,5,true
10,5,-5,5,false
12,9,-3,3,true
6,3,-3,3,false
11,8,-3,3,false
3,3,0,0,true
4,4,0,0,true
11,5,-6,6,true
11,11,0,0,true
3,2,-1,1,true
6,5,-1,1,true
7,5,-2,2,false
6,5,-1,1,false
8,8,0,0,false
12,7,-5,5,false
12,12,0,0,true
3,3,0,0,false
1,1,0,0,false
13,6,-7,7,false
2,3,1,1,true
8,7,-1,1,true
10,7,-3,3,true
4,2,-2,2,true
10,5,-5,5,true
11,6,-5,5,true
7,6,-1,1,false
13,6,-7,7,true
12,12,0,0,false
1,1,0,0,false
10,6,-4,4,true
10,6,-4,4,false
13,10,-3,3,true
11,5,-6,6,true
8,6,-2,2,true
10,5,-5,5,true
3,3,0,0,false
12,8,-4,4,true
7,6,-1,1,true
14,8,-6,6,true
5,6,1,1,false
12,7,-5,5,false
11,10,-1,1,false
4,4,0,0,false
5,4,-1,1,true
5,4,-1,1,false
2,3,1,1,false
13,7,-6,6,false
3,4,1,1,true
13,6,-7,7,true
12,7,-5,5,false
14,7,-7,7,true
11,6,-5,5,false
12,6,-6,6,false
10,8,-2,2,true
10,8,-2,2,true
4,3,-1,1,true
1,1,0,0,false
4,3,-1,1,true
8,5,-3,3,false
14,9,-5,5,true
3,3,0,0,true
10,7,-3,3,false
8,6,-2,2,true
9,5,-4,4,true
9,7,-2,2,true
13,7,-6,6,false
7,8,1,1,true
9,6,-3,3,true
6,3,-3,3,false
5,6,1,1,false
12,6,-6,6,true
6,6,0,0,true
11,9,-2,2,true
14,8,-6,6,false
4,4,0,0,true
7,4,-3,3,true
1,1,0,0,true
1,1,0,0,true
14,9,-5,5,true
4,3,-1,1,false
10,5,-5,5,true
6,3,-3,3,true
3,1,-2,2,true
8,10,2,2,false
9,4,-5,5,false
13,6,-7,7,false
14,7,-7,7,true
13,6,-7,7,true
11,7,-4,4,true
9,4,-5,5,false
8,5,-3,3,false
10,7,-3,3,true
5,5,0,0,false
3,3,0,0,false
9,5,-4,4,true
11,7,-4,4,true
9,11,2,2,true
13,7,-6,6,true
12,7,-5,5,true
9,4,-5,5,true
10,7,-3,3,false
1,1,0,0,true
4,4,0,0,true
6,5,-1,1,false
7,5,-2,2,false
3,2,-1,1,false
11,8,-3,3,false
13,7,-6,6,true
11,6,-5,5,false
12,6,-6,6,false
9,6,-3,3,false
9,6,-3,3,false
4,5,1,1,true
11,7,-4,4,true
8,6,-2,2,true
3,2,-1,1,false
8,6,-2,2,true
3,3,0,0,true
3,3,0,0,true
5,6,1,1,true
11,12,1,1,false
14,7,-7,7,true
6,3,-3,3,false
5,6,1,1,true
11,5,-6,6,true
5,6,1,1,false
13,10,-3,3,true
8,6,-2,2,false
14,8,-6,6,false
2,3,1,1,true
2,3,1,1,true
8,5,-3,3,true
3,4,1,1,false
5,6,1,1,false
11,5,-6,6,true
1,1,0,0,true
1,1,0,0,true
7,3,-4,4,false
4,4,0,0,false
1,1,0,0,false
11,5,-6,6,true
12,10,-2,2,false
4,4,0,0,false
3,3,0,0,false
10,8,-2,2,true
4,5,1,1,true
4,5,1,1,false
14,7,-7,7,false
10,8,-2,2,false
4,4,0,0,true
3,2,-1,1,false
1,1,0,0,true
7,3,-4,4,false
2,3,1,1,false
10,5,-5,5,false
9,5,-4,4,true
8,6,-2,2,true
2,3,1,1,false
12,6,-6,6,true
3,3,0,0,true
3,2,-1,1,true
6,4,-2,2,false
9,4,-5,5,false
1,1,0,0,false
2,3,1,1,true
3,3,0,0,false
10,9,-1,1,true
6,4,-2,2,false
12,7,-5,5,true
8,12,4,4,false
14,7,-7,7,true
3,3,0,0,false
14,7,-7,7,true
7,4,-3,3,true
1,1,0,0,true
10,5,-5,5,false
4,4,0,0,false
8,6,-2,2,true
8,4,-4,4,false
5,7,2,2,false
12,6,-6,6,true
6,3,-3,3,true
6,7,1,1,false
14,12,-2,2,false
14,8,-6,6,false
6,6,0,0,true
5,6,1,1,true
8,4,-4,4,false
14,9,-5,5,true
4,2,-2,2,false
8,5,-3,3,false
10,6,-4,4,false
2,3,1,1,false
1,1,0,0,true
8,7,-1,1,false
1,1,0,0,true
7,5,-2,2,false
3,2,-1,1,true
4,5,1,1,true
3,3,0,0,false
9,7,-2,2,false
13,8,-5,5,false
7,6,-1,1,false
5,7,2,2,false
8,10,2,2,false
11,6,-5,5,false
9,4,-5,5,false
7,6,-1,1,true
5,6,1,1,true
8,6,-2,2,false
9,7,-2,2,true
9,8,-1,1,false
8,4,-4,4,true
3,3,0,0,false
2,3,1,1,false
3,4,1,1,true
7,7,0,0,true
3,2,-1,1,false
5,6,1,1,true
6,3,-3,3,true
6,5,-1,1,true
9,5,-4,4,false
2,3,1,1,true
3,3,0,0,true
10,6,-4,4,false
9,5,-4,4,false
13,6,-7,7,false
3,3,0,0,true
6,6,0,0,true
14,7,-7,7,true
6,5,-1,1,false
4,5,1,1,true
6,4,-2,2,false
13,6,-7,7,false
3,3,0,0,false
4,3,-1,1,false
13,6,-7,7,false
6,7,1,1,false
7,4,-3,3,false
1,1,0,0,true
9,7,-2,2,false
5,5,0,0,true
9,5,-4,4,true
6,5,-1,1,true
3,4,1,1,true
4,3,-1,1,true
7,5,-2,2,false
8,7,-1,1,true
2,3,1,1,false
2,3,1,1,false
8,4,-4,4,true
2,3,1,1,false
14,7,-7,7,true
1,1,0,0,false
5,5,0,0,false
4,5,1,1,true
8,5,-3,3,false
1,1,0,0,false
6,6,0,0,false
8,6,-2,2,true
4,6,2,2,false
8,5,-3,3,true
13,8,-5,5,false
7,3,-4,4,true
11,5,-6,6,false
8,6,-2,2,true
3,1,-2,2,false
11,5,-6,6,true
5,6,1,1,false
7,7,0,0,false
14,7,-7,7,false
12,6,-6,6,false
9,6,-3,3,false
4,3,-1,1,false
8,4,-4,4,true
1,1,0,0,false
8,4,-4,4,false
7,4,-3,3,false
7,5,-2,2,false
7,5,-2,2,true
9,4,-5,5,false
4,5,1,1,false
6,5,-1,1,false
11,6,-5,5,true
5,6,1,1,true
10,6,-4,4,true
1,1,0,0,true
8,8,0,0,true
10,5,-5,5,false
4,6,2,2,true
13,8,-5,5,false
5,5,0,0,true
9,6,-3,3,true
2,3,1,1,true
9,5,-4,4,true
2,3,1,1,true
5,3,-2,2,false
5,6,1,1,false
7,10,3,3,false
14,7,-7,7,false
1,1,0,0,true
11,8,-3,3,true
6,6,0,0,true
4,5,1,1,false
7,4,-3,3,false
13,6,-7,7,true
6,4,-2,2,true
12,6,-6,6,false
14,10,-4,4,false
2,3,1,1,false
4,5,1,1,true
3,1,-2,2,false
9,4,-5,5,true
6,4,-2,2,true
8,10,2,2,true
6,5,-1,1,true
7,4,-3,3,false
6,6,0,0,false
1,1,0,0,true
3,3,0,0,true
13,10,-3,3,false
1,1,0,0,false
14,8,-6,6,false
1,1,0,0,true
3,3,0,0,false
3,2,-1,1,false
14,10,-4,4,true
11,6,-5,5,false
9,5,-4,4,false
12,7,-5,5,true
3,4,1,1,true
3,3,0,0,false
6,4,-2,2,true
6,9,3,3,false
6,6,0,0,false
14,9,-5,5,false
2,3,1,1,false
8,8,0,0,true
7,7,0,0,true
3,1,-2,2,true
10,6,-4,4,false
5,5,0,0,false
9,10,1,1,true
4,5,1,1,false
10,6,-4,4,true
9,4,-5,5,true
14,7,-7,7,true
11,5,-6,6,false
2,3,1,1,true
1,1,0,0,false
7,3,-4,4,true
4,3,-1,1,false
2,3,1,1,false
